Model,Best Test Accuracy,Final Test Accuracy,Best Train Accuracy,Final Train Accuracy,Overfitting Gap,Training Time (s),Parameters (M),Inference Time (ms)
custom_conv,0.9780,0.9768,0.9901,0.9901,0.0121,35.28,0.13,0.00
attention_conv,0.9778,0.9772,0.9896,0.9896,0.0118,36.70,0.13,0.00
custom_pool,0.9205,0.9205,0.9170,0.9170,-0.0035,32.25,0.00,0.00
custom_activation,0.9234,0.9234,0.9247,0.9247,0.0013,32.36,0.01,0.00
basic_residual,0.9865,0.9824,0.9960,0.9960,0.0095,54.41,0.13,0.00
bottleneck_residual,0.9790,0.9764,0.9951,0.9951,0.0161,55.66,0.13,0.00
wide_residual,0.9851,0.9831,0.9950,0.9950,0.0099,66.32,0.26,0.00
