Model,Final Train Acc,Final Test Acc,Best Test Acc,Final Train Loss,Final Test Loss,Training Time,Parameters
custom_conv,0.9901,0.9768,0.9780,0.0283,0.0890,35.28s,0.13M
attention_conv,0.9896,0.9772,0.9778,0.0315,0.0846,36.70s,0.13M
custom_pool,0.9170,0.9205,0.9205,0.2937,0.2802,32.25s,0.00M
custom_activation,0.9247,0.9234,0.9234,0.2688,0.2773,32.36s,0.01M
